turn,Vrf_kV,dE_avg_GeV,dE_sigma_GeV,dE_min_GeV,dE_max_GeV,time_avg_ns,time_sigma_ns,time_min_ns,time_max_ns
572,320.0,-0.00010382841790731254,0.007065719414738409,-0.01399988210642801,0.01401863223675546,0.0792153228532015,3.6894702699919835,-7.270927970555022,7.338518375375287
573,320.0,-0.00010418239349945779,0.007078703520370705,-0.014025217378359017,0.014045256833310971,0.07907436380565595,3.6818842552003974,-7.256100922614962,7.3230500256330515
574,320.0,-0.00010453573639772145,0.007091659028599908,-0.014050467389634133,0.014071993201343592,0.07893292431809337,3.6742853478959003,-7.241229691125255,7.307537099363202
575,320.0,-0.00010488844445152581,0.007104585781039226,-0.014075631984961881,0.014098644038937532,0.0787910052516075,3.6666736536311775,-7.226314366310135,7.29197969068548
576,320.0,-0.00010524051551415394,0.007117483620224964,-0.014100711009566443,0.014125209182169411,0.07864860747020003,3.6590492786311364,-7.211355038662816,7.276377893990258
577,320.0,-0.00010559194744276273,0.007130352389609447,-0.014125704309188703,0.014151688467632022,0.07850573184073328,3.6514123297990717,-7.196351798945386,7.260731803940274
578,320.0,-0.00010594273809839589,0.00714319193355401,-0.01415061173008727,0.014178081732435415,0.0783623792329618,3.6437629147228976,-7.18130473818934,7.245041515469268
579,320.0,-0.00010629288534599743,0.007156002097322126,-0.014175433119039505,0.014204388814207979,0.07821855051950952,3.6361011416815208,-7.1662139476934215,7.2293071237799325
580,320.0,-0.00010664238705442435,0.0071687827270725795,-0.014200168323342548,0.01423060955109754,0.07807424657586605,3.628427119651233,-7.1510795190243925,7.213528724344343
581,320.0,-0.00010699124109645983,0.0071815336698527596,-0.014224817190814339,0.014256743781772434,0.07792946828038,3.6207409583122234,-7.135901544014615,7.1977064129051485
582,320.0,-0.0001073394453488262,0.007194254773592041,-0.014249379569794635,0.014282791345422584,0.07778421651426352,3.6130427680551738,-7.120680114764525,7.181840285472674
583,320.0,-0.00010768699769219801,0.007206945887095245,-0.014273855309146023,0.014308752081760585,0.07763849216158011,3.6053326599879525,-7.105415323640528,7.165930438324523
584,320.0,-0.00010803389601121493,0.007219606860036196,-0.014298244258254936,0.014334625831022768,0.07749229610923238,3.597610745942393,-7.090107263271591,7.149976968005092
585,320.0,-0.00010838013819449472,0.007232237542951357,-0.014322546267032664,0.014360412433970274,0.07734562924696371,3.5898771384811283,-7.0747560265543825,7.133979971327676
