turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
624,20.0,0.07354162624772569,10.533889136804943,-21.082581828072648,21.10873676904393,-0.04518289919223819,4.79390006342762,-9.48364895289234,9.516619386741432,110.96822871728833,2.2983519312510752e-05,0.0003556466437324276,0.05050063309765244,-0.001987034298436321,0.0035283059470220886,0.004049351572653795,1.0418471118648511
625,20.0,0.07348029665117042,10.53393757346684,-21.08313707635071,21.10884941096444,-0.045203470712474506,4.793878381424172,-9.484117276966906,9.516610578237238,110.9692401556924,2.2983313289650485e-05,0.0003561175377584702,0.05050063358327341,-0.0019825055406061144,0.0035329776013784064,0.00405120462953619,1.0410771645088983
626,20.0,0.07341893903454813,10.533986070608208,-21.08368440444636,21.108954123275055,-0.04522402510612551,4.793856672407078,-9.484581987177222,9.516598142040758,110.9702528763767,2.2983107008028662e-05,0.0003565878730177451,0.050500634071807285,-0.00197797106790224,0.0035376437123108167,0.004053059656692779,1.0403076413966879
627,20.0,0.07335755342117828,10.534034628155277,-21.084223812159678,21.109050905937238,-0.04524456236518418,4.793834936408393,-9.485043083331043,9.516582078157146,110.97126687781844,2.298290046795328e-05,0.0003570576488118167,0.05050063456325085,-0.001973430887119114,0.003542304272890258,0.0040549166487083696,1.0395385423931567
628,20.0,0.0732961398344046,10.53408324603421,-21.084755299292908,21.10913975891711,-0.04526508248165031,4.793813173460208,-9.485500565237613,9.516562386593053,110.97228215849327,2.2982693669732702e-05,0.0003575268644431149,0.05050063505760097,-0.001968885005058678,0.003546959276196263,0.004056775600170612,1.0387698673611274
629,20.0,0.07323469829756316,10.534131924171062,-21.08527886565207,21.109220682182894,-0.04528558544753034,4.7937913835946535,-9.485954432707674,9.516539067356636,110.97329871687461,2.298248661367567e-05,0.00035799551921490897,0.0505006355548544,-0.001964333428531997,0.0035516087153166995,0.004058636505670569,1.038001616161509
630,20.0,0.07317322883401674,10.534180662491801,-21.08579451104572,21.109293675705374,-0.045306071254837474,4.793769566843897,-9.486404685553458,9.516512120457547,110.9743165514342,2.2982279300091272e-05,0.0003584636124312084,0.05050063605500791,-0.001959776164358012,0.0035562525833467682,0.00406049935980125,1.0372337886532328
631,20.0,0.07311173146713965,10.534229460922317,-21.08630223528496,21.109358739458287,-0.04532653989559164,4.793747723240146,-9.486851323588693,9.516481545906949,110.97533566064183,2.2982071729288993e-05,0.0003589311433970633,0.05050063655805829,-0.0019552132193638777,0.003560890873391995,0.004062364157160417,1.0364663846931217
632,20.0,0.0730502062202904,10.5342783193884,-21.086802038183464,21.10941587341918,-0.04534699136181949,4.793725852815647,-9.4872943466286,9.516447343717502,110.97635604296532,2.298186390157867e-05,0.0003593981114181071,0.05050063706400223,-0.0019506446003854083,0.0035655235785636997,0.004064230892346846,1.0356994041362197
633,20.0,0.07298865311687823,10.534327237815761,-21.08729391955913,21.109465077567734,-0.04536742564555443,4.793703955602683,-9.48773375448989,9.516409513903369,110.97737769687087,2.2981655817270514e-05,0.0003598645158010293,0.050500637572836515,-0.001946070314266003,0.003570150691983666,0.004066099559963925,1.0349328468354109
634,20.0,0.07292707218028945,10.534376216130005,-21.08777787923154,21.109506351886182,-0.045387842738836615,4.793682031633575,-9.488169546990768,9.51636805648022,110.97840062082233,2.2981447476675094e-05,0.00036033035585322575,0.05050063808455776,-0.0019414903678583429,0.0035747722067807045,0.004067970154617474,1.0341667126418157
635,20.0,0.07286546343394362,10.534425254256677,-21.088253917024474,21.109539696360514,-0.04540824263371292,4.793660080940687,-9.48860172395094,9.516322971465218,110.97942481328228,2.2981238880103357e-05,0.0003607956308829756,0.05050063859916274,-0.0019369047680220155,0.0035793881160923716,0.004069842670916127,1.0334010014044455
636,20.0,0.072803826901258,10.534474352121189,-21.08872203276178,21.10956511097848,-0.04542862532223696,4.7936381035564155,-9.489030285191596,9.516274258877038,110.98045027271057,2.2981030027866613e-05,0.0003612603401993897,0.050500639116648,-0.001932313521626747,0.0035839984130644795,0.0040717171034724735,1.032635712970592
637,20.0,0.07274216260566846,10.534523509648896,-21.089182226273635,21.10958259573158,-0.04544899079646915,4.793616099513197,-9.489455230535428,9.51622191873585,110.98147699756588,2.2980820920276533e-05,0.00036172448311241895,0.05050063963701022,-0.0019277166355489922,0.0035886030908511835,0.004073593446901518,1.0318708471854643
638,20.0,0.07268047057061436,10.534572726765068,-21.089634497391472,21.10959215061473,-0.045469339048476616,4.793594068843508,-9.48987655980662,9.516165951063329,110.98250498630479,2.2980611557645166e-05,0.0003621880589328506,0.05050064016024604,-0.001923114116673694,0.0035932021426149183,0.004075471695821489,1.0311064038923945
639,20.0,0.07261875081954451,10.534622003394873,-21.090078845948824,21.109593775624575,-0.04548967007033327,4.793572011579862,-9.490294272830845,9.516106355882654,110.983534237382,2.298040194028491e-05,0.00036265106697232305,0.05050064068635203,-0.001918505971894216,0.003597795561526578,0.004077351844853975,1.0303423829328313
640,20.0,0.07255700337593611,10.534671339463392,-21.09051527178437,21.109587470761085,-0.0455099838541198,4.793549927754809,-9.490708369435279,9.516043133218501,110.98456474925032,2.298019206850854e-05,0.0003631135065433713,0.050500641215324785,-0.0019138922081122119,0.0036023833407659487,0.0040792338886242695,1.0295787841463115
