turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
1201,34.1829629,24.0,0.0,0.019067162764293027,13.827802733323832,-27.59734401130862,27.5435436741337,-0.09166800400143194,7.7864252019184415,-15.592654404637319,15.487675772671484,191.2084919884139,6.063682044802825e-05,-0.002435071513056754,0.10764917753316093,-0.003842897317699166,-0.01133333744649612,0.011967138232281377,-0.9488545419576501,26.57893624393974,152.00857719802332,False
1202,34.1899316,24.0,0.0,0.018944492678010762,13.82757014302927,-27.597874736287537,27.54136395823886,-0.09167711652052782,7.786570851943211,-15.59302430568879,15.489063551889675,191.20205495419737,6.0639090326025136e-05,-0.0024438935802188885,0.10764918051270879,-0.0038607207194070675,-0.011374397211512467,0.012011747433180635,-0.9490083204677957,26.57893624393974,152.01170713196115,False
1203,34.1969061,24.0,0.0,0.01882181036317786,13.827336690257862,-27.598388150802663,27.539166965840735,-0.09168617223181058,7.786717063969015,-15.593384253771339,15.490441658129567,191.19559420629662,6.064136898848477e-05,-0.002452727999570191,0.10764918347389708,-0.0038786115403315557,-0.011415514466227707,0.012056433884422341,-0.9491628413420311,26.57893624393974,152.0148494422071,False
1204,34.2038864,24.0,0.0,0.01869911589623132,13.82710237376525,-27.598884251012265,27.536952694726892,-0.09169517110764218,7.786863838954707,-15.593734244591214,15.491810086558962,191.1891097115199,6.064365645082489e-05,-0.0024615747623647267,0.10764918641668302,-0.0038965698878403606,-0.011456689169936394,0.012101197611284682,-0.9493180981527114,26.57893624393974,152.01800415156947,False
1205,34.21087250000001,24.0,0.0,0.018576409353651523,13.826867192307683,-27.599363033083534,27.534721142692916,-0.0917041131203903,7.787011177859158,-15.594074273856666,15.493168832347019,191.18260143669903,6.064595272846667e-05,-0.0024704338598120455,0.10764918934102397,-0.003914595869284434,-0.011497921281725925,0.012146038639020735,-0.949474084540212,26.57893624393974,152.02117128285894,False
1206,34.217864399999996,24.0,0.0,0.01845369081195247,13.826631144642011,-27.599824493191704,27.532472307544595,-0.09171299824242839,7.7871590816412555,-15.594404337277952,15.494517890664271,191.17606934868905,6.064825783683451e-05,-0.0024793052830773166,0.10764919224687733,-0.003932689591998092,-0.01153921076047713,0.012190956992858326,-0.9496307942120754,26.57893624393974,152.02435085888766,False
1207,34.224862099999996,24.0,0.0,0.018330960347684312,13.826394229525713,-27.600268627517494,27.530206187092745,-0.0917218264461356,7.7873075512599,-15.594724430567352,15.495857256682617,191.1695134143692,6.065057179135607e-05,-0.002488189023281322,0.10764919513420074,-0.003950851163297907,-0.011580557564864244,0.012235952697998913,-0.9497882209421296,26.57893624393974,152.02754290247006,False
1208,34.2318656,24.0,0.0,0.018208218037443567,13.826156445716885,-27.60069543225009,27.527922779157535,-0.09173059770389697,7.787456587673998,-15.595034549439177,15.49718692557535,191.16293360064267,6.065289460746227e-05,-0.002497085071500338,0.10764919800295206,-0.003969080690482698,-0.01162196165335438,0.012281025779616386,-0.9499463585696686,26.57893624393974,152.0307474364219,False
1209,34.2388749,24.0,0.0,0.018085463957859746,13.825917791974232,-27.601104903585906,27.525622081566723,-0.09173931198810331,7.787606191842467,-15.595334689609777,15.498506892517147,191.15632987443624,6.065522630058717e-05,-0.0025059934187659674,0.10764920085308913,-0.003987378280833741,-0.011663422984206718,0.012326176262855653,-0.950105200998658,26.57893624393974,152.03396448356094,False
1210,34.24589,24.0,0.0,0.01796269818559376,13.825678267057096,-27.601497037728564,27.52330409215702,-0.09174796927115152,7.787756364724222,-15.595624846797543,15.49981715268409,191.149702202701,6.065756688616801e-05,-0.0025149140560654926,0.10764920368457,-0.004005744041613873,-0.011704941515474162,0.012371404172833236,-0.9502647421968771,26.57893624393974,152.03719406670635,False
